Source \ Target,Collaboration,Event,Function,Grouping,Location,Path,Process,Role,Service,Assessment,Driver,Goal,Meaning,Outcome,Principle,Requirement,Stakeholder,Value,Capability,Course of Action,Resource,Value Stream,Business Actor,Business Interface,Business Object,Product,Application Component,Application Interface,Data Object,Artifact,Communication Network,Device,Distribution Network,Equipment,Facility,Material,Node,System Software,Technology Interface,Deliverable,Plateau,Work Package
Driver,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Goal,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Meaning,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Influence|Association,Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Outcome,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Influence|Association,Realization|Influence|Association,Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Principle,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Realization|Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Influence|Association,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Requirement,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Realization|Influence|Association,Realization|Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Stakeholder,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Influence|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Value,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Influence|Association,Composition|Aggregation|Influence|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Capability,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Composition|Aggregation|Serving|Association|Specialization|Flow|Triggering,Realization|Serving|Association|Flow|Triggering,Association,Serving|Association|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Course of Action,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Realization|Influence|Association,Association,Association,Serving|Association|Flow|Triggering,Composition|Aggregation|Serving|Association|Specialization|Flow|Triggering,Association,Serving|Association|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Resource,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Assignment|Association,Assignment|Association,Composition|Aggregation|Association|Specialization,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Value Stream,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Serving|Association|Flow|Triggering,Realization|Serving|Association|Flow|Triggering,Association,Composition|Aggregation|Serving|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Business Actor,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Composition|Aggregation|Association|Specialization,Composition|Aggregation|Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Business Interface,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Business Object,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association|Specialization,Association,Association
Product,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Association,Association,Association
Application Component,Association,Association,Assignment|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Assignment|Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Association,Composition|Aggregation|Serving|Association|Specialization,Assignment|Serving|Association,Assignment|Access|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Application Interface,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Realization|Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Data Object,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Realization|Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association|Specialization,Association,Association
Artifact,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association|Specialization,Association,Realization|Association,Association,Realization|Association|Specialization,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Communication Network,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association
Device,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Serving|Association,Serving|Association,Association,Assignment|Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Assignment|Association,Composition|Aggregation|Association,Association,Association,Association
Distribution Network,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Composition|Aggregation|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association,Association,Association,Association
Equipment,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Serving|Association,Serving|Association,Association,Assignment|Association,Association,Composition|Aggregation|Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association
Facility,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Assignment|Association,Association,Association,Association,Serving|Association,Serving|Association,Association,Assignment|Association,Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Composition|Aggregation|Assignment|Association,Association,Composition|Aggregation|Association,Association,Association,Association
Material,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Realization|Association|Specialization,Association,Association,Association,Association|Specialization,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association,Association,Association,Association
Node,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Serving|Association,Serving|Association,Association,Aggregation|Assignment|Association,Association,Composition|Aggregation|Association,Association,Composition|Aggregation|Association,Composition|Aggregation|Association,Association,Composition|Aggregation|Association|Specialization,Composition|Aggregation|Association,Composition|Aggregation|Association,Association,Association,Association
System Software,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Serving|Association,Serving|Association,Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Assignment|Association|Specialization,Composition|Aggregation|Association,Association,Association,Association
Technology Interface,Association,Association,Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Association,Assignment|Association,Assignment|Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Association,Realization|Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Association,Composition|Aggregation|Association|Specialization,Association,Association,Association
Deliverable,Association,Realization|Association,Realization|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Association,Association,Association,Association,Association,Association,Realization|Association,Association,Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Composition|Aggregation|Association|Specialization,Realization|Association,Association
Plateau,Association,Composition|Aggregation|Realization|Association|Triggering,Composition|Aggregation|Realization|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Association,Association,Composition|Aggregation|Association,Association,Association,Association,Composition|Aggregation|Realization|Influence|Association,Association,Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Composition|Aggregation|Realization|Association,Association,Composition|Aggregation|Association|Specialization|Triggering,Association
Work Package,Association,Realization|Association|Flow|Triggering,Realization|Association,Composition|Aggregation|Assignment|Realization|Serving|Access|Influence|Association|Specialization|Flow|Triggering,Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Association,Association,Association,Association,Association,Association,Realization|Influence|Association,Association,Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Association,Realization|Access|Association,Association,Composition|Aggregation|Association|Specialization|Flow|Triggering
